C00062 C02163
C00407 C00014
C00016 C01352
C00322 C00956
C00535 C03917
CE2242 CE2254
C00794 CE3075
CE1059 C00612
CE0347 CE2449
C00197 C00236
C01227 C00280
C04736 C04682
C01507 C00247
C03546 C00137
CE5144 CE5148
CE6451 CE6467
C00221 C00198
CE6451 CE6466
CE2182 C05301
C01107 C01143
C02686 CE6569
C01060 C02465
CE6495 C02403
C05938 C05947
C06459 C05674
C00044 C02407
C05993 C00024
C00890 C00890
C01189 C01164
C00364 C00363
C01794 C05122
C05552 C00120
C00506 C00245
CE0328 CE6432
C06002 C01213
CE0328 CE6435
C00346 CE6498
C00128 G00027
CE0328 CE6438
CE5839 CE5840
CE5839 CE5841
CE5970 CE5971
C00084 C09642
C05345 C00275
CE5965 CE5964
CE7072 CE5846
C04895 C04874
C00093 C00681
C05345 C00279
C01586 CE2934
C01272 C01245
C01272 C01243
C01094 C00577
C03838 C04376
C00042 C00091
C05298 C05299
C00128 G00035
CE0328 CE6444
C02189 G00023
CE0328 CE6445
CE0328 CE6446
C02557 C00100
CE0328 CE6447
C00031 C00092
C02140 C05475
CE6462 CE6449
CE0328 CE6449
CE2424 C05280
C00255 C00061
C01137 C00315
CE2705 C00268
C00350 CE7098
C00387 C00242
C00695 C04483
CE2705 C00272
C00496 C03635
CE6195 CE6228
C01200 C00074
C11695 C00189
C00222 C00024
C00064 C00169
CE6508 CE7079
C00048 C00160
CE3134 CE3126
C00024 C05259
C05791 C05787
C00037 CE5560
C00954 CE2122
C02763 C00166
C00189 CE6498
CE5708 CE4980
CE2948 CE2949
C05638 C05651
CE1754 CE5575
CE5166 CE5165
CE5943 CE5942
CE5943 CE5941
CE2952 C00777
C00019 C05320
C04384 C11553
CE0328 CE6420
C00235 CE5956
C01081 C00068
CE0328 CE6423
C01164 CE1293
CE0328 CE6426
C01245 C01220
CE0328 CE6429
C07282 C00315
C05638 C05639
CE2615 CE2616
C05963 CE1447
C00061 C01847
CE5114 CE1241
C00169 C00327
CE3075 C00794
C01747 C02744
C00577 C00258
C00130 C04734
C00310 CE1186
C00206 C00008
C01888 C00546
CE2249 CE2245
C00065 C00022
C00376 CE5589
C05552 C00047
C00084 C00469
C05921 C06250
C01165 C03287
CE4841 CE4840
C02985 C00325
C12144 C12145
C01161 C05582
C00468 CE2180
CE5939 CE5940
C00131 C00206
CE4852 CE4854
CE5239 CE5250
CE5788 CE5786
C02593 C05273
C03011 C00024
C04006 C00137
C05108 C11455
C00020 C00008
C14787 C06205
CE0955 C05962
C00429 C02642
C14868 C06790
C04295 C03917
C02593 C05259
CE2952 CE2959
C00158 C00311
CE1950 C01417
CE5928 CE5930
CE4803 CE4797
CE5939 CE5936
C00124 C01747
CE5082 C02291
C03011 C00012
C00376 CE5593
C02835 C05130
C04737 C03272
C00127 C00051
C00249 C00154
C01060 C02515
CE4830 CE4837
C01419 C00041
C00877 C03561
C00111 C06893
C00020 C00031
C00072 CE5922
C04520 C01284
C04741 C04654
C03465 C00407
CE4753 CE2891
C06140 C06139
CE5166 C05460
CE5900 CE5895
C00043 G00031
C00524 C00032
C00049 C06113
C01179 C00642
C00352 C04932
C00195 C00550
C00780 CE2153
C00376 CE5575
CE2249 CE2253
CE6458 CE6447
CE4830 CE4849
C04256 C00043
CE1395 C00398
C05953 C05955
C01419 C00051
CE4852 CE4848
C00107 CE6417
C00031 C00020
C03800 C04250
C00794 C00206
C01416 C12448
C00222 C00083
CE6447 CE6459
CE6447 CE6458
C01194 CE5101
C00245 C02592
C00078 C00643
C00909 CE2567
C03758 CE5626
CE2054 CE5947
C00013 C02100
CE5755 CE5747
C04233 C00187
C03205 C02140
C00222 C00099
C14786 C11713
C00588 C00307
G00099 G00097
C14786 C11714
C00547 C00788
CE6495 CE6488
C03272 G00097
G00127 G00125
C04233 C04571
C01177 C00092
CE5942 CE4805
C00639 C00427
C00104 C00130
C00417 C00158
CE5575 C00376
CE1951 CE5236
C06241 C04257
CE7105 CE7106
C07297 C07296
C05859 C00235
CE2952 CE2964
CE2952 CE2963
C03917 C04295
C00124 C00446
C13645 C11088
C00066 C03880
C00065 C00097
CE3074 C00095
C00058 C00234
CE5321 C00024
C01586 C00512
C02403 CE6495
C05963 C02198
C01419 C00097
G00088 G00067
C11356 C05859
C00239 C00881
CE5592 CE5652
C00131 C00275
CE6241 CE6244
C00499 C01551
C01143 C00129
CE5306 CE5315
C06140 G00129
CE0573 C01620
C04620 C05751
CN0010 CN0014
C04620 C05750
C04717 CE2163
C00311 C00158
C00101 C00504
C00157 C00416
C05176 C05202
C02592 C03642
C00116 C00093
C06131 C04910
CE5822 CE2750
C00350 C01241
C03912 C01165
C00704 C05642
C05827 C05828
C02406 C00328
C00881 C00526
CE5306 CE5309
C04419 C06250
C00143 C00101
C00345 C00011
CE2874 CE2872
C02686 C06125
G00149 C00110
C02686 C06126
CE2313 C05109
C02686 C06128
CE5645 CE5529
C03345 C04405
C05141 C05504
C01060 C00708
C00035 C00325
C01613 C00124
C14797 C14793
C04384 C00054
C02188 C00020
C04911 G00166
G00055 G00052
C00585 C03721
C01345 C01344
C00082 C01179
C00134 C00555
C00118 C00673
C00078 C02406
CE2837 CE2838
C00242 C00385
CE0347 CE7221
C00004 C00999
C00100 C00683
CE5017 C02477
CE5133 CE0233
CE2438 CE2437
C05580 C05577
C00270 C00128
C00272 C04244
C05455 C03594
C00122 C03794
C00339 C03129
C05232 C05329
C00836 C12126
C00085 C00352
C03684 C00272
C07295 C00021
CE2846 CE1787
C01176 C04518
C03939 C05744
CE7103 CE6273
C02100 C00013
C00258 C00577
C00378 C00068
C05272 C00154
C01835 C02052
C05454 CE0232
CE6241 CE6240
C00668 C00103
C04233 C00157
CE5017 C11378
CE5328 CE5319
C14842 C14840
C00177 C00022
CE1262 CE1261
C00035 C00361
C02465 CE6369
CE5956 C00448
C00024 C00332
CE5151 CE2510
CE4970 C01033
C11946 C11947
CE1273 CE1274
CE7081 CE7091
CE5328 CE5326
CE4874 CE4872
C01291 C04675
C00645 C00270
C00427 C05956
C11714 C14785
C05439 C05437
C05931 C05932
C06037 C03692
C04760 C05460
C00416 C00269
C00242 C00330
C00996 C00999
C00105 C00043
C11714 C14786
C11714 C14787
C05223 C00229
C00110 C01246
C05580 C05584
C00149 C00036
CE6498 C00346
CE2054 CE2053
C00214 C00364
C00356 C00024
C05643 CE2120
C03880 C00066
CE5837 C00601
C02986 C02805
G00081 G00071
CE1714 CE5963
C00105 C00015
CE6185 CE6184
C00149 C00022
G00016 G00015
C00234 C04376
C05487 C05488
C05487 C05489
G00010 G00171
CE6584 CE6585
G00011 G00010
C05100 C00906
CE2874 CE2875
CE5317 CE5320
C00665 C05345
CE5022 CE5021
C00286 C00361
C00581 C00300
C00286 C00362
CE5317 CE5324
C05497 C00735
C00547 CE2174
C14864 C14859
C00579 C04424
CE5726 C00584
C00072 C01041
C05337 C02528
C02303 C03718
C06697 C00021
C02060 C07343
G00081 G00082
CE7092 CE7093
G00016 G00017
C00149 C00011
C00350 CE6583
CE4809 CE4815
CE2445 CE5178
C05111 C05110
C11547 C11548
C00137 C00191
C00099 C05665
C04640 C03373
C01653 C02554
C01598 CE5982
C00083 CE5160
C00092 C01177
C00026 C00022
C06409 C00021
C00037 CE4970
C00026 C00025
C05382 C00231
C01429 C00010
C00535 C00951
CE4764 C01953
CE2751 CE2891
CE5782 CE5783
C05382 C12214
C05467 C01794
CE6235 CE6236
CE0737 C00427
C00026 C00011
CE5956 C00235
CE5738 CE5739
C02041 CE0102
C00110 C03862
C00279 C05382
C05443 C01164
CE2863 C01836
CE6032 C03917
C04901 G00027
C03638 C04312
C05234 C01392
C01169 C00579
C00511 C01659
C07086 C00601
C01958 C00157
C00053 C11553
C03974 C00416
CE6190 CE6191
CE7093 CE7092
C00140 C00329
CE5963 C05859
C01042 C00049
C00004 C00003
C00097 C00022
C00669 C00097
C04735 C04681
C00445 C00143
CE5022 C11378
C01209 C00685
CE6330 CE6326
C01664 C03636
C00067 C00479
C00120 C04681
C00120 C04682
C04910 C06131
C05697 C05686
C00095 CE3074
CE2751 CE2858
C02165 C00909
C04789 C03706
C00559 C05512
C00025 C03287
CE1102 CE0782
C05753 C04619
G00178 G00015
C00272 C03684
C00788 CE6196
C00037 CE4968
C03958 CE5820
CE5849 CE5845
C04598 C00588
C00037 CE4969
CE5156 CE5157
C04281 C05947
C05485 C03205
C03205 CE6029
C00153 C02918
C00515 C01110
C14841 C14840
CE5127 C07343
C05382 C00279
C00376 C02110
CE1262 CE5698
C05981 C04637
C01847 C00061
CE4802 CE4804
C06604 C00870
CE4802 CE4807
C11526 C01204
C00170 C00147
CE2438 CE2439
C00026 C02630
C00040 CE0194
CE5343 CE5349
C00100 C00894
C00327 C03406
CE2837 C01936
CE5966 CE5967
CE7093 CE7094
C00026 C03957
CE0852 CE5160
C03820 C04598
C03958 C02238
C00003 C00153
CE5966 CE5971
C04805 CE7096
CE5343 CE5350
CE5321 CE5318
CE1243 CE7054
CE2026 C03069
C00279 C05345
C00588 C04598
CE6498 C00189
C00232 C00042
C03035 CE4793
C05141 C05300
CE5526 C04717
C00121 C00117
C00043 C01170
C00221 C00267
CE2441 CE2442
C00831 C01134
C03410 C03691
CE7078 CE4770
CE1337 CE2205
CE5178 CE5179
C05125 C06010
C00243 C00267
CE4824 CE4816
C01943 C00058
CE6184 CE6183
CE4824 CE4823
C00037 CE4994
CE5343 CE5342
C05125 C06006
C00940 C00166
C04895 C00536
CE7217 C00785
C00425 C00725
CE5318 CE5321
CE5321 CE5325
C05932 C05931
CE5318 CE5327
C00986 C05665
C01213 C06002
C00037 C02055
C04042 C00410
C05332 C00601
CE5588 C00047
C14866 C06899
C00231 C00199
CE5985 C04575
C04927 G00128
C00511 C08276
C01179 C05350
CE6463 CE6449
C01005 C03232
C00019 C02339
C11713 C14786
C00886 C00041
C00159 C00104
C08276 C00511
C11713 C14787
C00010 C00091
C00155 C00073
CE1261 CE6259
C04076 C00956
CE0078 CE4994
C00140 C00357
C09727 CE3123
C06134 C06141
C05748 C05747
C02440 C00054
C04246 C05745
CE2248 CE2244
CN0018 CN0019
C00075 C00046
CN0010 C14851
C14180 C01031
C02165 CE4990
CE6230 CE2537
C00025 C05829
CE5938 CE5940
C02737 CE7078
C05269 C00024
C00550 C00195
CE4898 CE5718
CE5247 C05298
C05759 C04688
CE5589 C00777
C00026 C00091
CE6457 CE6446
C00364 C00214
CE2859 CE4716
CE2248 CE2252
C00798 C07343
C05954 C05955
C11475 C04250
C01227 C04555
CN0018 CN0017
C00032 C00023
C00128 C00055
CE0849 CE0713
C05527 C00606
C03405 CE5738
CE4851 CE4849
C00059 C00224
CE5527 CE5526
G00027 C00128
C00072 C00425
C00163 C05983
C00555 C00334
C00227 C00033
C00534 C00250
C05453 C05457
C00037 C00213
C00448 CE5956
C05453 C05454
C00337 C00295
C00512 C01586
C00647 C00018
C05577 C05576
C00065 C02737
C01103 C00295
C00647 C00014
C00075 C00015
G00097 G00102
CE5118 CE5119
C00001 C05264
CE2435 C02944
C00446 C00052
C00322 C06157
C00097 C03125
G00149 G00148
C00361 C07292
C05748 C05749
C00120 C05921
G00149 G00140
CE4790 CE4792
C14774 C14770
C00140 C04755
CE5125 CE2416
C00010 C00037
C04884 C04730
C00010 C00036
C05577 C05580
CE5900 CE5900
CE5118 CE5117
C03758 C13690
C04741 C04685
C00010 C00040
C05861 G00005
C00338 C02737
G00015 C00035
C02465 C01829
CE5254 CE5250
C00135 C00386
CE4796 CE4800
C01888 C03508
C00381 C00110
CE7144 CE7145
CE5159 CE2513
CE4796 CE4808
C00010 C00024
C00398 CE1395
C01419 C00151
C04895 C03684
C00642 C03765
C05726 C05729
CE0194 C00318
C00486 C00500
CE2565 CE2566
C05764 C05763
C00037 C05951
C00047 C03239
CE5646 C00040
CE2254 CE2242
C12214 C05382
C00010 C00012
C00026 C00042
C06103 C06102
C00669 C00051
C00455 C03150
C00103 C00446
C01243 C04477
C03765 C00642
C05665 C00099
C00415 C00504
C00053 C00059
C02038 C00010
C00131 C02965
C00190 C03424
C04419 C00083
C00053 C00054
C00048 C00037
C00065 C00114
CE5161 CE5160
C00135 C00388
CE5855 CE5856
CE2205 CE2206
C02714 C05936
C00082 C02515
CE5560 CE5559
CE2254 CE2253
C14790 C14789
C00026 C00036
C01233 C00189
C05266 C05276
CE2730 CE2728
C05266 C05267
C00613 C03022
C00003 C03245
C00075 C00063
C01120 C00346
CE5589 CE5590
CE5589 CE5591
C00219 CE5925
C00116 C01225
C00219 CE5928
CN0011 CN0015
CE5305 CE5312
C05260 C05273
C00079 CE5786
CE2061 CE5528
CE7101 CE7047
C03895 C00343
CE2315 CE2314
C02356 C00109
C00402 C00036
CE5821 CE2750
C01034 C03836
CE2435 CE5121
C00105 C00106
C00169 C00438
C00363 C00459
CE5305 CE5308
C05754 C05755
C04845 C04922
CE5161 CE5162
CE5140 CE5525
C05615 C02646
CE5791 CE5786
C05227 C11828
CE2183 C05301
C05828 C05827
CE5165 CE5166
C05729 C02320
C00135 C02988
CE1944 CE5586
G00076 G00067
C02198 C05963
C00118 C05378
C11695 C00219
C00079 C05332
C01033 CE4970
CE5781 CE5818
G00017 G00018
C05528 C00506
CE1589 C05463
CE1924 CE7047
C01755 C00320
C01346 C00015
C00065 C00168
C05930 C03541
C00986 CE5586
C04845 C04910
C01033 C00030
C00606 C00519
CE2838 CE2839
C02515 C00708
C02737 C00065
CE0520 C05650
C00041 CE5782
C00412 CE2251
CE5982 CE5899
CE3810 CE3808
C06340 CE5530
C02558 C00024
CE2047 CE2303
C03033 C00069
CE2875 CE2874
CE0782 CE1102
C00819 C00217
CE2047 CE2304
C00956 C04076
C00412 CE2244
G00098 G00097
C05260 C05261
C02051 C02972
C00266 CE1186
C14796 C14791
C05273 C02593
C00449 C04076
C00131 C00352
C01747 C00124
CE3810 CE3811
C05766 C01024
CE5250 CE5241
C11036 C14840
CE5327 CE5318
CE7080 CE7082
C00082 C00822
C00065 C00189
C00091 C00042
C00025 C00101
CE5865 CE5829
C04196 C04073
C04751 C03373
C05125 C01136
CE2890 CE2858
CE3136 CE5653
C02700 C00328
C00693 C00173
CE4808 CE4807
C11036 C14839
CE5843 CE5855
CE5327 CE5326
CE1272 CE1273
CE1272 CE1277
CE1272 CE1278
CE1272 CE1279
C01179 C00544
G00091 G00089
C00117 C00620
CE6197 CE6195
CE6502 CE6504
C06899 C07490
C11547 C00162
C00492 C00124
C01159 C00236
C05957 C00696
CE2838 CE2837
C05497 C05498
C05276 C05266
C05758 C05223
C04903 C15656
C02823 C00541
C00455 C00153
C00198 C00221
CE4876 CE6243
C05300 C05141
C00091 C00026
C01943 C11508
C00016 C00061
C00448 C11356
C02305 C00300
C00037 CE7220
C04506 C04748
C02477 CE5842
CE5781 CE5827
C03069 C02939
CE6583 CE6585
C00461 C00140
CE2512 CE5155
G00038 C06130
C00066 C00017
CE4881 CE4633
C00066 C00013
G00005 C05861
CE6162 CE6164
CE0782 CE0695
C05475 C05476
CE5250 CE5239
C00091 C00010
C00024 C03344
C02939 C03069
C00864 C00831
C04763 C04727
C01026 C00213
C00066 C00021
CE1714 C00381
C00668 C00267
CE5932 CE5016
CE2577 CE6504
C00356 C00164
CE5932 CE5013
CE4842 CE4840
C00798 CE5123
C00232 C00989
C00149 C00122
C00173 C00693
C14876 C14875
CE2597 CE0692
C07490 C14869
C14804 C14802
C01171 C03735
CE6236 CE6235
CE5929 CE5926
CE5017 CE5021
C03479 C00101
C06755 C06754
C00407 C06008
CE2596 CE2597
C01724 C05109
C01724 C05108
C00385 C01762
C00496 C04090
C00116 C05650
C07296 C07297
CE1935 CE1936
CE6184 CE6185
CE1935 CE1937
C00328 C03227
CE4842 CE4843
C00027 C00704
C00007 C00472
C00173 C00685
C04248 C15658
C00047 C00986
C00613 C00017
C00046 C00201
C00345 C01218
C14863 C14862
C00613 C00014
C00067 CE2152
C14863 C14865
C00067 CE2153
C00292 C00010
C02188 C01211
C04644 C05337
G00121 G00120
C00573 C00054
C02505 C07086
CE5349 CE5343
CE2955 CE1162
CE4754 CE2891
C00077 C01165
G00082 G00081
C00262 C05512
CE6435 CE0328
CE1926 CE5854
C04063 C04006
C11947 C11945
C02291 CE5082
C11947 C11946
G00010 G00011
C05488 C05487
C00154 C00249
CE5798 CE5797
CE7110 CE7114
CE5311 CE5312
C06125 C02686
C04244 C00272
C00067 CE2174
C02946 C05936
C00062 C00581
C01051 C01024
C14848 C14840
CE4820 CE4832
C04352 C01134
C00355 CE6034
CE2916 C00407
C00101 C00664
C00079 C03511
CE6429 CE0328
CE5590 C00473
CE4994 CE0078
CE2152 C00067
CE5754 CE5747
C00066 C04432
C00346 CE5965
C03465 C05118
C00612 CE1059
C00350 C04438
C00067 CE2172
C00067 CE2173
C01802 C00187
C03577 CE5994
CE2102 C00047
C14849 CN0011
C01019 C02985
C00199 C00117
CE6448 CE6461
CE6448 CE6460
C05952 C03577
G00046 C04910
C00468 C00951
CE7087 CE7086
C03815 C04512
C05762 C04633
C00097 C00957
C06002 C06001
C00341 C00448
C00438 C00337
CE4820 CE4818
C00025 C09332
C00083 CE5144
C00957 C01755
CE6182 CE2054
C02729 C01609
CE4797 CE4798
C00003 C00996
C03758 C09642
CE4836 CE4839
CE4836 CE4838
CE7107 CE1447
CE2432 CE2417
CE4791 CE5114
C00143 C00065
CE2891 CE2751
C13645 C14870
CE4820 CE4829
C00083 CE5156
C00696 C00639
CE5776 CE5747
C00083 CE5152
CE2847 CE2848
CE4814 CE4850
C06790 C11148
C00345 C01236
C11455 C01724
C05444 C05445
C14787 C14792
C14787 C14793
C01177 C01225
C00612 C00134
CE6202 C05584
C06439 CE7088
C00195 C01190
CE2247 CE2243
C05109 CE2313
CE5101 C01194
C00350 C02737
C05752 C05753
CE5236 CE1951
C04685 C04741
C04376 C04640
C00044 C04895
C02567 C00027
CE7090 CE7110
CE5786 CE5787
CE2540 CE6508
C00272 C00082
C04938 G00067
CE5775 CE5747
C05752 C05751
G00067 G00068
CE5786 CE5789
C00022 C00008
CE5786 CE5788
C02188 C05544
G00015 G00019
C05259 C05258
C05642 C01598
C00004 C03836
C00008 C00206
G00015 G00016
C04730 C06133
CE1310 C00097
G00015 G00020
C00936 CE3140
G00067 G00077
C02110 C00376
G00067 G00076
CE2884 CE2888
C03069 C05998
C00526 C00365
CE2539 C14827
CE5786 CE5790
C05460 CE5168
CE0232 CE4872
CE4791 CE4793
G00067 G00071
CE5786 CE5791
C03413 CE4788
C01664 C00014
C00301 C00117
G00126 G00125
CE0232 CE4874
C00259 C00532
C00334 C01035
C00777 CE1617
CE2439 CE2438
C01829 C02465
C00446 C00103
CE5926 CE5929
CE1918 C05634
CE4797 CE4803
C00365 C01346
C00777 CE2957
C01953 C05138
C00777 CE2956
C03344 C04405
C00232 C00334
C00345 C00199
C00777 CE2952
C00410 C04042
C00951 C05301
CE6183 CE6187
C00412 C01530
C05108 C05437
CE6183 CE6184
C00026 C00349
CE2439 CE2440
C02477 CE5017
CE2916 CE4723
CE0926 CE6503
CE0926 CE6501
C00857 C00003
C05403 C00221
C03557 C05673
C00129 C00013
G00056 G00055
CE5856 CE5844
CE5276 C03758
CE6569 C02686
C00356 C03231
C00822 CE1262
C00822 CE1261
C01561 CE2201
C03990 C04483
C00959 C04686
C00634 C00401
CE5589 CE2952
CE5820 C03958
CE2184 C05298
C14867 C11148
C00259 C00508
C01200 C00686
C04637 C05981
CE0102 C02041
CE3808 CE3809
CE2206 CE2207
C00187 C04233
C00442 C03736
CE5575 CE1617
C14867 C11149
C05849 C01628
CE6504 CE6506
C00041 C00025
C04409 C03722
C00041 C00022
CE3808 CE3810
C00366 C11821
CE5138 CE5139
C14769 C14773
C01141 C04141
C00483 C03758
C00151 C03740
C00081 C01096
C01288 C04248
C00410 CE5888
C00022 C00036
G00023 G00031
C01953 CE4764
CE6326 CE6365
C00022 C00041
C02100 C02407
C00167 C00015
C02075 C00040
G00012 G00011
C00355 CE2176
C00483 C03765
C00924 C00923
CE7078 C00338
C03740 C00051
CE1925 CE5853
C00378 C01081
CE4813 CE2540
C00275 C00085
CE6503 CE0926
G00012 G00013
C00022 C00026
C00022 C00024
C00735 CE1342
CE5646 CE5529
CE2247 CE2251
C05200 C05313
C00483 C02442
C00247 C01507
C05973 C01233
C00033 C00024
C00173 C00229
C01832 C00010
C00840 CE5799
C05770 C03263
CE2432 CE5117
CE5782 C00037
C05263 C00024
CE5308 CE5310
C00037 CE5782
C11479 C00215
CE6240 C00696
CE2314 CE2313
CE4936 C05952
CE4888 CE5545
C04742 C05966
CE5789 CE5786
C08276 C00409
C09819 C09820
CE2592 CE2591
C05947 C04281
CE5783 CE5782
CE5320 C00024
C00055 C00475
C04575 CE5985
CE5308 CE5305
C01944 C05276
C03862 C00110
CE4786 CE4823
C00091 C01169
C00019 C04692
C00386 C00135
C02407 C02100
C05267 C05270
C00118 C00085
CE2314 CE2315
C05269 C00136
G00023 G00035
C00025 C00026
CE6326 CE6330
C00167 C00029
C00899 C02110
CE2244 CE2248
C00235 C00341
CE5319 CE5337
C02291 C00109
C00036 C00026
CE5782 C00041
C05127 C05827
C04453 C08825
C02583 C00014
C14839 C14847
CE4969 C00630
C00010 C01429
G00008 G10599
C14839 C14844
C00097 C04352
C00025 C00041
C02679 C05223
C05267 C05266
G00018 G00017
C04925 C03272
C04540 C01239
C00128 C03691
C00157 C04680
CE5319 CE5328
C01240 C03418
C03306 C00021
C00332 C00024
C00025 C00049
CE5249 CE5243
CE0852 CE2591
CE4990 CE5531
CE6204 CE6227
C00315 C01029
C03221 C01832
C00036 C00049
CE4794 CE4792
C05922 C05923
C13856 CE5707
CE4812 CE4814
C05928 C05929
C00019 C03391
CE5331 CE5337
CE5827 CE5781
C01036 C01061
C13856 CE5700
C00025 C00064
CE5823 C00840
C00500 C00486
CE4876 C00696
CE5730 CE4980
C14851 C14855
C01180 C00048
G00005 G10526
C01277 C04637
CE5626 CE5627
C01693 CE5544
CE5626 CE5629
C00036 C00074
C05490 C05477
CE7085 CE7111
CE5331 CE5329
CE5964 CE5965
C14783 C03012
C00129 C04432
C14840 C14842
C00398 C00479
C00079 CE2917
C14840 C14841
C00315 CE5586
C01203 C00712
C00315 CE5588
C05265 C01944
C14840 C14848
CE2440 CE2441
G00159 CN0006
C02198 C00427
G00159 CN0005
CE6445 CE6455
CE6445 CE6454
G00159 CN0007
C02686 C00195
C00010 C00136
C14771 CE2730
C03917 C00535
C00101 C03479
C00069 C03120
C04825 C04903
C00114 C00588
G00067 G00088
G00067 G00087
CE5320 CE5322
C01595 C14827
C01595 C14825
C05452 C05455
C04317 C00114
C01595 C14826
C01638 C02984
CE4801 CE4803
C14787 C11714
C00019 C06410
C14787 C11713
C02642 C00099
CE4801 CE4806
G00067 G00089
C00111 C05378
C02191 C00032
CE2866 CE2754
C00882 C01134
CE1957 C00642
CE2440 CE2439
C00360 C00206
C00725 CE2102
CE7047 CE1924
CE5320 CE5317
C00234 C00101
C00114 C00576
CE2047 C14825
CE0695 CE2596
CE4812 CE4810
CE5150 CE5151
CE0520 C03820
C01190 C00195
CE4850 CE4848
G00159 CN0001
C00344 C03892
C00091 C01213
CE5016 CE5932
C05643 CE5899
C00630 CE4969
C00157 C01595
C01103 C00119
C05264 C05275
CE5150 CE5148
C00164 C00042
C00252 C00267
C04927 C06138
C14877 C14874
C00187 C02530
CE1589 C04483
C00469 C00084
C00039 C00039
C00068 C01081
C00128 C04926
CE2433 CE2418
C00013 C00129
CE0713 CE0849
C04755 C04010
C01236 C00345
C01103 C00105
C00040 C00605
C00178 C00906
C00043 C00105
C00821 C00021
C02356 CE1661
C05445 C05444
C00039 C00021
C00499 C00086
CE0692 C02944
C05729 C05726
C05729 C00037
C00735 C05284
C00877 C01144
C00641 C00157
C06136 G00125
C04741 CE7092
C00226 C00071
C00459 C00363
C01167 C00585
C05404 C05402
C00455 C00003
C00141 C00183
CE5323 CE5324
C00028 C00030
C03413 C00612
C03129 C03372
C05501 C01953
G00047 C04910
C01189 CE2315
C05264 C05265
C00601 C07086
C00931 C01024
CE2252 CE2248
CE6235 C05953
C00573 C00573
C02670 C00818
CE6473 C00909
C00047 C00449
CE5025 CE5276
C02170 C06002
C03033 C00191
CE5253 CE5249
C04253 C00399
C03706 C04789
C00020 C00212
C05498 C02140
C00157 C00219
CE2915 C00407
C02944 CE0692
C05750 C04620
C04212 C01117
C01034 C00003
C00040 C00658
C05437 C05439
C00270 C03410
CE2422 CE2418
C14781 C14782
CE6493 C04317
C00095 C00206
C00039 C00013
